day_number,week_number,warmup_videos,main_videos,endurance_videos,relaxation_videos,motivation_videos,total_videos_per_day,notes
1,1,2,8,3,3,0,16,"Стандартная структура дня 1, неделя 1"
2,1,2,8,3,3,0,16,"Стандартная структура дня 2, неделя 1"
3,1,2,8,3,3,0,16,"Стандартная структура дня 3, неделя 1"
4,1,2,8,3,3,0,16,"Стандартная структура дня 4, неделя 1"
5,1,2,8,3,3,0,16,"Стандартная структура дня 5, неделя 1"
6,1,2,8,3,3,0,16,"Стандартная структура дня 6, неделя 1"
7,1,2,8,3,3,0,16,"Стандартная структура дня 7, неделя 1"
8,2,2,8,3,3,0,16,"Стандартная структура дня 8, неделя 2"
9,2,2,8,3,3,0,16,"Стандартная структура дня 9, неделя 2"
10,2,2,8,3,3,0,16,"Стандартная структура дня 10, неделя 2"
11,2,2,8,3,3,0,16,"Стандартная структура дня 11, неделя 2"
12,2,2,8,3,3,0,16,"Стандартная структура дня 12, неделя 2"
13,2,2,8,3,3,0,16,"Стандартная структура дня 13, неделя 2"
14,2,2,8,3,3,0,16,"Стандартная структура дня 14, неделя 2"
15,3,2,8,3,3,0,16,"Стандартная структура дня 15, неделя 3"
16,3,2,8,3,3,0,16,"Стандартная структура дня 16, неделя 3"
17,3,2,8,3,3,0,16,"Стандартная структура дня 17, неделя 3"
18,3,2,8,3,3,0,16,"Стандартная структура дня 18, неделя 3"
19,3,2,8,3,3,0,16,"Стандартная структура дня 19, неделя 3"
20,3,2,8,3,3,0,16,"Стандартная структура дня 20, неделя 3"
21,3,2,8,3,3,0,16,"Стандартная структура дня 21, неделя 3"
