clip_id,exercise,r2_kind,archetype,model_name,issue,r2_file
1,endurance_01,technique,,endurance_01_technique_m01,NO_R2_FILE_REFERENCE,
2,endurance_02,technique,,endurance_02_technique_m01,NO_R2_FILE_REFERENCE,
3,endurance_03,technique,,endurance_03_technique_m01,NO_R2_FILE_REFERENCE,
4,N/A,technique,,endurance_04_technique_m01,NO_R2_FILE_REFERENCE,
5,N/A,technique,,endurance_05_technique_m01,NO_R2_FILE_REFERENCE,
6,N/A,technique,,endurance_06_technique_m01,NO_R2_FILE_REFERENCE,
7,N/A,technique,,endurance_07_technique_m01,NO_R2_FILE_REFERENCE,
8,N/A,technique,,endurance_08_technique_m01,NO_R2_FILE_REFERENCE,
9,N/A,technique,,endurance_09_technique_m01,NO_R2_FILE_REFERENCE,
10,N/A,technique,,endurance_10_technique_m01,NO_R2_FILE_REFERENCE,
11,N/A,technique,,endurance_11_technique_m01,NO_R2_FILE_REFERENCE,
12,N/A,technique,,endurance_12_technique_m01,NO_R2_FILE_REFERENCE,
13,N/A,technique,,endurance_13_technique_m01,NO_R2_FILE_REFERENCE,
14,N/A,technique,,endurance_14_technique_m01,NO_R2_FILE_REFERENCE,
15,N/A,technique,,endurance_15_technique_m01,NO_R2_FILE_REFERENCE,
16,N/A,technique,,endurance_16_technique_m01,NO_R2_FILE_REFERENCE,
17,N/A,technique,,endurance_17_technique_m01,NO_R2_FILE_REFERENCE,
18,N/A,technique,,endurance_18_technique_m01,NO_R2_FILE_REFERENCE,
19,N/A,technique,,endurance_19_technique_m01,NO_R2_FILE_REFERENCE,
20,N/A,technique,,endurance_20_technique_m01,NO_R2_FILE_REFERENCE,
21,N/A,technique,,endurance_21_technique_m01,NO_R2_FILE_REFERENCE,
22,N/A,technique,,endurance_22_technique_m01,NO_R2_FILE_REFERENCE,
23,N/A,technique,,endurance_23_technique_m01,NO_R2_FILE_REFERENCE,
24,N/A,technique,,endurance_24_technique_m01,NO_R2_FILE_REFERENCE,
25,N/A,technique,,endurance_25_technique_m01,NO_R2_FILE_REFERENCE,
26,N/A,technique,,endurance_26_technique_m01,NO_R2_FILE_REFERENCE,
27,N/A,technique,,endurance_27_technique_m01,NO_R2_FILE_REFERENCE,
28,N/A,technique,,endurance_28_technique_m01,NO_R2_FILE_REFERENCE,
29,N/A,technique,,endurance_29_technique_m01,NO_R2_FILE_REFERENCE,
30,N/A,technique,,endurance_30_technique_m01,NO_R2_FILE_REFERENCE,
31,N/A,technique,,endurance_31_technique_m01,NO_R2_FILE_REFERENCE,
32,N/A,technique,,endurance_32_technique_m01,NO_R2_FILE_REFERENCE,
33,N/A,technique,,endurance_33_technique_m01,NO_R2_FILE_REFERENCE,
34,N/A,technique,,endurance_34_technique_m01,NO_R2_FILE_REFERENCE,
35,N/A,technique,,endurance_35_technique_m01,NO_R2_FILE_REFERENCE,
36,N/A,technique,,endurance_36_technique_m01,NO_R2_FILE_REFERENCE,
37,N/A,technique,,endurance_37_technique_m01,NO_R2_FILE_REFERENCE,
38,N/A,technique,,endurance_38_technique_m01,NO_R2_FILE_REFERENCE,
39,N/A,technique,,endurance_39_technique_m01,NO_R2_FILE_REFERENCE,
40,N/A,technique,,endurance_40_technique_m01,NO_R2_FILE_REFERENCE,
41,N/A,technique,,endurance_41_technique_m01,NO_R2_FILE_REFERENCE,
42,N/A,technique,,endurance_42_technique_m01,NO_R2_FILE_REFERENCE,
43,N/A,technique,,main_001_technique_m01,NO_R2_FILE_REFERENCE,
44,N/A,technique,,main_002_technique_m01,NO_R2_FILE_REFERENCE,
45,N/A,technique,,main_003_technique_m01,NO_R2_FILE_REFERENCE,
46,N/A,technique,,main_004_technique_m01,NO_R2_FILE_REFERENCE,
47,N/A,technique,,main_005_technique_m01,NO_R2_FILE_REFERENCE,
48,N/A,technique,,main_006_technique_m01,NO_R2_FILE_REFERENCE,
49,N/A,technique,,main_007_technique_m01,NO_R2_FILE_REFERENCE,
50,N/A,technique,,main_008_technique_m01,NO_R2_FILE_REFERENCE,
